name,interface_selector,int_pol_group,int_pol_group_type,slot_id,from_port,to_port
LEAFPROF_201,,,42,,,
LEAFPROF_202,,,42,,,
LEAFPROF_203,,,42,,,
LEAFPROF_204,,,42,,,
LEAFPROF_205,,,42,,,
LEAFPROF_206,,,42,,,
LEAFPROF_207,,,42,,,
LEAFPROF_208,,,42,,,
LEAFPROF_209,,,42,,,
LEAFPROF_210,,,42,,,
LEAFPROF_211,,,42,,,
LEAFPROF_212,,,42,,,
LEAFPROF_213,,,42,,,
LEAFPROF_214,,,42,,,
LEAFPROF_215,,,42,,,
LEAFPROF_216,,,42,,,
LEAFPROF_217,,,42,,,
LEAFPROF_218,,,42,,,
LEAFPROF_219,,,42,,,
LEAFPROF_220,,,42,,,
LEAFPROF_221,,,42,,,
LEAFPROF_222,,,42,,,
LEAFPROF_223,,,42,,,
LEAFPROF_224,,,42,,,
LEAFPROF_225,,,42,,,
LEAFPROF_226,,,42,,,
LEAFPROF_227,,,42,,,
LEAFPROF_228,,,42,,,
LEAFPROF_229,,,42,,,
LEAFPROF_230,,,42,,,
LEAFPROF_231,,,42,,,
LEAFPROF_232,,,42,,,
LEAFPROF_233,,,42,,,
LEAFPROF_234,,,42,,,
LEAFPROF_235,,,42,,,
LEAFPROF_236,,,42,,,
LEAFPROF_237,,,42,,,
LEAFPROF_238,,,42,,,
LEAFPROF_239,,,42,,,
LEAFPROF_240,,,42,,,
LEAFPROF_241,,,42,,,
LEAFPROF_242,,,42,,,
LEAFPROF_243,,,42,,,
LEAFPROF_244,,,42,,,
SPINEPROF_101_102,1/31-32,mpod_100gig_ipg,Access,,,
SPINEPROF_107_108,1/31-32,mpod_100gig_ipg,Access,,,
SPINEPROF_113_114,1/31-32,mpod_100gig_ipg,Access,,,
SPINEPROF_119_120,1/31-32,mpod_100gig_ipg,Access,,,
SPINEPROF_125_126,1/31-32,mpod_100gig_ipg,Access,,,
