name,switch_selec,from_node_id,to_node_id,policy_group
LEAF_201,LEAF_201,201.0,201.0,default
LEAF_202,LEAF_202,202.0,202.0,default
LEAF_203,LEAF_203,203.0,203.0,default
LEAF_204,LEAF_204,204.0,204.0,default
LEAF_205,LEAF_205,205.0,205.0,default
LEAF_206,LEAF_206,206.0,206.0,default
LEAF_207,LEAF_207,207.0,207.0,default
LEAF_208,LEAF_208,208.0,208.0,default
LEAF_209,LEAF_209,209.0,209.0,default
LEAF_210,LEAF_210,210.0,210.0,default
LEAF_211,LEAF_211,211.0,211.0,default
LEAF_212,LEAF_212,212.0,212.0,default
LEAF_213,LEAF_213,213.0,213.0,default
LEAF_214,LEAF_214,214.0,214.0,default
LEAF_215,LEAF_215,215.0,215.0,default
LEAF_216,LEAF_216,216.0,216.0,default
LEAF_217,LEAF_217,217.0,217.0,default
LEAF_218,LEAF_218,218.0,218.0,default
LEAF_219,LEAF_219,219.0,219.0,default
LEAF_220,LEAF_220,220.0,220.0,default
LEAF_221,LEAF_221,221.0,221.0,default
LEAF_222,LEAF_222,222.0,222.0,default
LEAF_223,LEAF_223,223.0,223.0,default
LEAF_224,LEAF_224,224.0,224.0,default
LEAF_225,LEAF_225,225.0,225.0,default
LEAF_226,LEAF_226,226.0,226.0,default
LEAF_227,LEAF_227,227.0,227.0,default
LEAF_228,LEAF_228,228.0,228.0,default
LEAF_229,LEAF_229,229.0,229.0,default
LEAF_230,LEAF_230,230.0,230.0,default
LEAF_231,LEAF_231,231.0,231.0,default
LEAF_232,LEAF_232,232.0,232.0,default
LEAF_233,LEAF_233,233.0,233.0,default
LEAF_234,LEAF_234,234.0,234.0,default
LEAF_235,LEAF_235,235.0,235.0,default
LEAF_236,LEAF_236,236.0,236.0,default
LEAF_237,LEAF_237,237.0,237.0,default
LEAF_238,LEAF_238,238.0,238.0,default
LEAF_239,LEAF_239,239.0,239.0,default
LEAF_240,LEAF_240,240.0,240.0,default
LEAF_241,LEAF_241,241.0,241.0,default
LEAF_242,LEAF_242,242.0,242.0,default
LEAF_243,LEAF_243,243.0,243.0,default
LEAF_244,LEAF_244,244.0,244.0,default
LEAF_245,LEAF_245,245.0,245.0,default
LEAF_246,LEAF_246,246.0,246.0,default
LEAF_247,LEAF_247,247.0,247.0,default
LEAF_248,LEAF_248,248.0,248.0,default
LEAF_201_202_VPC,LEAF_201_202,201.0,202.0,default
LEAF_203_204_VPC,LEAF_203_204,203.0,204.0,default
LEAF_205_206_VPC,LEAF_205_206,205.0,206.0,default
LEAF_207_208_VPC,LEAF_207_208,207.0,208.0,default
LEAF_209_210_VPC,LEAF_209_210,209.0,210.0,default
LEAF_211_212_VPC,LEAF_211_212,211.0,212.0,default
LEAF_213_214_VPC,LEAF_213_214,213.0,214.0,default
LEAF_215_216_VPC,LEAF_215_216,215.0,216.0,default
LEAF_217_218_VPC,LEAF_217_218,217.0,218.0,default
LEAF_219_220_VPC,LEAF_219_220,219.0,220.0,default
LEAF_221_222_VPC,LEAF_221_222,221.0,222.0,default
LEAF_223_224_VPC,LEAF_223_224,223.0,224.0,default
LEAF_225_226_VPC,LEAF_225_226,225.0,226.0,default
LEAF_227_228_VPC,LEAF_227_228,227.0,228.0,default
LEAF_229_230_VPC,LEAF_229_230,229.0,230.0,default
LEAF_231_232_VPC,LEAF_231_232,231.0,232.0,default
LEAF_233_234_VPC,LEAF_233_234,233.0,234.0,default
LEAF_235_236_VPC,LEAF_235_236,235.0,236.0,default
LEAF_237_238_VPC,LEAF_237_238,237.0,238.0,default
LEAF_239_240_VPC,LEAF_239_240,239.0,240.0,default
LEAF_241_242_VPC,LEAF_241_242,241.0,242.0,default
LEAF_243_244_VPC,LEAF_243_244,243.0,244.0,default
LEAF_245_246_VPC,LEAF_245_246,245.0,246.0,default
LEAF_247_248_VPC,LEAF_247_248,247.0,248.0,default
