name,domain_policy,left_node_id,right_node_id,logical_pair_id
VPC_201_202,default,201.0,202.0,1.0
VPC_203_204,default,203.0,204.0,2.0
VPC_205_206,default,205.0,206.0,3.0
VPC_207_208,default,207.0,208.0,4.0
VPC_209_210,default,209.0,210.0,5.0
VPC_211_212,default,211.0,212.0,6.0
VPC_213_214,default,213.0,214.0,7.0
VPC_215_216,default,215.0,216.0,8.0
VPC_217_218,default,217.0,218.0,9.0
VPC_219_220,default,219.0,220.0,10.0
VPC_221_222,default,221.0,222.0,11.0
VPC_223_224,default,223.0,224.0,12.0
VPC_225_226,default,225.0,226.0,13.0
VPC_227_228,default,227.0,228.0,14.0
VPC_229_230,default,229.0,230.0,15.0
VPC_231_232,default,231.0,232.0,16.0
VPC_233_234,default,233.0,234.0,17.0
VPC_235_236,default,235.0,236.0,18.0
VPC_237_238,default,237.0,238.0,19.0
VPC_239_240,default,239.0,240.0,20.0
VPC_241_242,default,241.0,242.0,21.0
VPC_243_244,default,243.0,244.0,22.0
VPC_245_246,default,245.0,246.0,23.0
VPC_247_248,default,247.0,248.0,24.0
